id	text	class_label	predicted_class_label
1116071883986886656	julien huelva responded facebook julien please work us instead need help us thank	Other Categories	Other Categories
198317336853861_929274630424791	congratulations incredible team chefs recently participated live food cooking competitions hospitality qatar <NUM> team collected nine medals total including one gold three silver five bronze	Events	Sports
7IO3HwGMKA	enjoy incredible collection offers including great savings inclusive fares companion offer two tickets double qmiles privilege club member many simply visit book ticket <NUM> september <NUM>	Promotion	Promotion
1121025203935555586	rt qr holidays getting boomerang ha long bay vietnam explore incredible place book vietnam…	Destinations and Airports	Destinations and Airports
1038787860197851136	travel flying board wings art flying new world stroke brush qatar airways sponsors cos moscow art fair pushkin state museum fine arts moscow together	Events	Events
1024876198348955648	love qatar wish pleasant flight mr	Other Categories	Other Categories
965840494810095621	esta khr hi amir details announced soon stay tuned thank	Other Categories	Other Categories
1071810005668573187	mombasa second gateway magical kenya explore coastal city direct non stop flights hi qatar mombasa together	Destinations and Airports	Destinations and Airports
198317336853861_264291720755335	highlights farnborough airshow <NUM>	Events	Events
1092532646754861057	<NUM> replied dm	Other Categories	Other Categories
1137794859635564545	holy month ramadan celebrate occasion eid qatar airways partnership qatar charity hosted event <NUM> children four orphanages kathmandu nepal	Charity Programs	Charity Programs
957582279701774336	fly touchdown doha airbus <NUM> <NUM> test aircraft first <NUM>	Aircrafts	Aircrafts
1028694153310416896	one year ago began non stop flights sohar third gateway oman expanded daily flight months later oman airports sohar together	Destinations and Airports	Destinations and Airports
1036232946611445763	passion commitment determination pursuit excellence describe energy asia asian games <NUM> congratulations athletes participated asian games jakarta palembang asia together	Sports	Sports
198317336853861_2070718936280349	dancing street nicole scherzinger qatar airways fifa world cup <NUM> russia™	Sports	Sports
BAv3BLQGMDK	rt <NUM> hear fans come khalifa international stadium 🗣️ action track world ath…	Sports	Sports
1122097814941597696	hd ysi thank taking time write us comments observations feedback vital us continue improving services share us tell us qatar airways com qa	Other Categories	Other Categories
