id	text	class_labels
1217338474807939072	#سوريا.. ارتفاع غير مسبوق في أسعار السلع تزامناً مع انخفاض قيمة الليرة أمام الدولار 	business-and-economy
1218090097184313344	RT @AJABreaking: عاجل | المرشد الإيراني: سليماني كان أقوى القادة في مكافحة الإرهاب	politics
1216676530094518278	عاجل | رئيس أركان الجيش السوداني: مقتل عسكريين اثنين وإصابة 4 آخرين وتمكنا من القضاء على التمرد بأقل الخسائر	crime-war-conflict
1129291597043130368	RT @ajanet_ar: أعمال عنف بعد ابتزازه.. مالك مركز البشير للتسوق قال إن أكثر من 20 مركبة مسلّحة هاجمت المكان وخلّفت قتلى وجرحى  التفاصيل 👇 ht…	crime-war-conflict
1168150959735934976	@ahmedhadads نشكركم على إعجابكم بمحتوانا.. ولكن هذه ملاحظة نأمل تقبلها بصدر رحب: نرجو منكم مشاركة قصصنا عن طريق إعادة التغريد بدلاً من تنزيل الفيديو وإعادة رفعه مرة أخرى تجنباً لمخالفة حقوق الملكية. تحية 🌷	others
1085837884794388482	#نيمار يفوز..  النجم البرازيلي يشارك في سباق للهجن في الدوحة ويتفاعل بحماس مع الجمال 	sports
1156910151141666816	#مصر | "غرقنا".. أمطار غزيرة بمدينة العريش تغرق البيوت وسط تجاهل المسؤولين 	environment
1212025063635070982	#الجزيرة_هذا_الصباح - جفاف البشرة والقدمين في الشتاء.. كيف نتجنبه؟ 	health
1119344924091019265	"اخرج من القاعة إن كان لديك ذرة من كرامة.. يا محتل يا قتلة الأطفال" #مرزوق_الغانم	politics
1097468323829305345	بين الإمارات وإيران 3 جزر متنازع عليها وعلاقات اقتصادية بالمليارات.. هل تعرفون القصة؟	politics
