id	text	predicted_class_label
1116071883986886656	julien huelva responded facebook julien please work us instead need help us thank	Other Categories
198317336853861_929274630424791	congratulations incredible team chefs recently participated live food cooking competitions hospitality qatar <NUM> team collected nine medals total including one gold three silver five bronze	Sports
7IO3HwGMKA	enjoy incredible collection offers including great savings inclusive fares companion offer two tickets double qmiles privilege club member many simply visit book ticket <NUM> september <NUM>	Promotion
_bbX3EmMNb	happy world tourism day year celebrating better future tourism world tourism day year focus tourism jobs better future un wto	Business and Partnerships
1121025203935555586	rt qr holidays getting boomerang ha long bay vietnam explore incredible place book vietnam…	Destinations and Airports
1038787860197851136	travel flying board wings art flying new world stroke brush qatar airways sponsors cos moscow art fair pushkin state museum fine arts moscow together	Events
1024876198348955648	love qatar wish pleasant flight mr	Other Categories
965840494810095621	esta khr hi amir details announced soon stay tuned thank	Other Categories
1071810005668573187	mombasa second gateway magical kenya explore coastal city direct non stop flights hi qatar mombasa together	Destinations and Airports
198317336853861_264291720755335	highlights farnborough airshow <NUM>	Events
1092532646754861057	<NUM> replied dm	Other Categories
1137794859635564545	holy month ramadan celebrate occasion eid qatar airways partnership qatar charity hosted event <NUM> children four orphanages kathmandu nepal	Charity Programs
957582279701774336	fly touchdown doha airbus <NUM> <NUM> test aircraft first <NUM>	Aircrafts
1028694153310416896	one year ago began non stop flights sohar third gateway oman expanded daily flight months later oman airports sohar together	Destinations and Airports
1036232946611445763	passion commitment determination pursuit excellence describe energy asia asian games <NUM> congratulations athletes participated asian games jakarta palembang asia together	Sports
198317336853861_2070718936280349	dancing street nicole scherzinger qatar airways fifa world cup <NUM> russia™	Sports
BAv3BLQGMDK	rt <NUM> hear fans come khalifa international stadium 🗣️ action track world ath…	Sports
1122097814941597696	hd ysi thank taking time write us comments observations feedback vital us continue improving services share us tell us qatar airways com qa	Other Categories
198317336853861_1765326900152889	discover world qatar airways	Branding
1079809930293579777	turn back clock start <NUM> relive best moments year onward <NUM>	Other Categories
1127922074864029697	rt qr holidays rainforests volcanoes beaches city world three right doorstep enjoy nature playgroun…	Travel Blogs
1021076349346361349	man saeed ali matter iman like help possible	Other Categories
1077297175095328768	kommunikation en sorry know helena may claim reference via dm check status assist thank	Other Categories
75M1GNGMCS	equestrian skills put test balkan horse jumping championship recently held istanbul qatar airways istanbul together	Sports
1129722552065155072	relax soothing massage next flight vitality centre located inside oryx airport htel learn	Destinations and Airports
yrL2ulGMDI	stripes dots apologize inconvenience caused kindly provide booking reference dm closer look matter looking forward hearing	Other Categories
1003185929262063617	qatar airways congratulates oneworld announcing new oneworld connect membership platform welcomes fiji airways first partner exciting extension alliance iata agm	Business and Partnerships
1212312511481032704	discover world prof nasser episode <NUM>	Travel Blogs
BU_1DbujoDO	witness football best <NUM> arabian <NUM> qatar book special travel packages	Sports
BB-MaeQGMLn	west end musical broken wings <NUM> based khalil gibran poetic novel coming doha <NUM> <NUM> november katar qatar opera house tickets sale	Events
988399515093762048	qatar airways becomes main global partner italian football club roma en <NUM> <NUM> season	Business and Partnerships
1196718542286204928	delighted announce qatar live series music concerts right doha partnering ntc qatar bring exciting events qatar	Events
969109659318652928	first day new month let start planning travels march	Promotion
1037010147669929985	visiting nba stars turned pupils qf star basketball team running practice sessions school qatar	Sports
1041536173943009280	ke har hello please provide us booking reference via dm assist accordingly	Other Categories
1186941298672058368	ladies gentlemen without waiting present logo <NUM> arabian gulf cup qatar <NUM> qf en	Sports
1029741502292025344	jakarta perfect blend history modernity heading asian games <NUM> asia together asian games energy asia	Sports
